Player,Player,Salary,DFF Proj,FPros Proj,NF Proj,SportsLine,DraftEdge Proj,RotoWire Proj,FantasyLabs Proj,FBGuys Proj,B5 Proj,Avg Proj,Weighted,Roster %,Position,Exclude?,,,,,,Weights,
Joe Burrow,Joe Burrow,8200,21.3,19.794000000000004,19.8,19.79,20.3,20.92,20.92,20.909599999999998,20.31872,20.45025777777778,20.482040266666672,9.46,QB,False,,,,,,Rotowire,0.08
Jahmyr Gibbs,Jahmyr Gibbs,9100,21.2,21.5,25,23.86,24.1,19.74,21.92,21.578000000000003,22.6276,22.391733333333335,22.214688000000002,17.36,RB,,,,,,,DraftEdge,0.07
Jalen Hurts,Jalen Hurts,8300,20.6,20.528000000000002,19.8,22.21,20,20.83,20.03,19.971,20.6218,20.510088888888887,20.467617333333333,20.06,QB,,,,,,,DailyFantasyFuel,0.14
Lamar Jackson,Lamar Jackson,8400,20,19.208000000000002,19,18.91,21.4,19.57,20.05,20.507,19.525,19.796666666666667,19.7937,21.42,QB,False,,,,,,FantasyPros,0.16
Justin Herbert,Justin Herbert,7600,19.9,19.444,18.1,23.28,19.7,17.47,20.88,20.502999999999997,20.245399999999997,19.94693333333333,19.953952,1.03,QB,False,,,,,,NumberFire,0.1
Josh Allen,Josh Allen,8900,19.6,18.844,17.8,18.24,20.9,19.38,19.84,20.023000000000003,18.901400000000002,19.28093333333333,19.294632000000004,8.37,QB,False,,,,,,SportsLine,0.09
Bijan Robinson,Bijan Robinson,8800,19.4,17.99,16.6,18.92,19,17.24,19.37,17.29,18.04,18.205555555555552,18.183733333333333,14.13,RB,Slate: Wed-Thu,,,,,,RotoBaller,0
Baker Mayfield,Baker Mayfield,7500,18.6,17.744000000000003,16.2,18.89,17.8,18.92,18.08,18.7864,18.04408,18.118275555555556,18.145423733333338,8.64,QB,,,,,,,B5 Proj,0.04
Jared Goff,Jared Goff,7800,18.4,17.558,17.6,18.59,18.3,18.96,19.36,18.7344,18.176479999999998,18.40876444444444,18.381269066666665,3.08,QB,,,,,,,Football Guys,0.16
Trevor Lawrence,Trevor Lawrence,7700,18.4,17.834000000000003,15.8,19.06,20.1,18.6,18.74,19.419,18.102600000000002,18.450622222222226,18.432021333333335,1.47,QB,,,,,,,FantasyLabs,0.1
Kyler Murray,Kyler Murray,7200,18.3,17.364,18.5,16.49,17.6,18.05,18.41,18.5846,17.84772,17.905146666666667,17.9530936,0,QB,,,,,,,Ceiling ,0
Caleb Williams,Caleb Williams,8000,18.2,18.188,17.6,19.89,19.6,18.33,18.91,18.929,18.5614,18.689822222222222,18.630065333333334,0.21,QB,,,,,,,Average,0.06
Tyler Shough,Tyler Shough,6900,17.9,17.722,15,17.26,18.7,18.08,18.23,17.5232,17.08104,17.499582222222223,17.510248533333336,0,QB,,,,,,,Max,0
Ja'Marr Chase,JaMarr Chase,8900,17.5,16.71,15.6,17.5,21.1,16.97,17.67,17.497000000000003,16.9614,17.500933333333332,17.388232000000002,26.67,WR,,,,,,,Total,1
Jonathan Taylor,Jonathan Taylor,8600,17.4,16.94,19.3,17.05,20.1,17.11,17.35,16.630000000000003,17.464,17.70488888888889,17.543353333333332,11.26,RB,,,,,,,,
Jayden Daniels,Jayden Daniels,7900,16.8,15.758000000000001,13.9,15.86,16.7,17.13,17.7,17.268200000000004,15.917240000000001,16.337048888888887,16.379904533333335,18.32,QB,,,,,,,,
Jordan Love,Jordan Love,7400,16.5,15.134,15.5,13.55,16.3,15.71,17.28,16.594399999999997,15.455679999999997,15.78045333333333,15.846898399999999,2.61,QB,,,,,,,,
Saquon Barkley,Saquon Barkley,8100,16.3,15.190000000000003,16.7,15.99,16.6,15.09,15.71,15.415,15.919,15.879333333333335,15.817620000000002,26.31,RB,,,,,,,,
De'Von Achane,DeVon Achane,8500,16.3,15.990000000000002,18.3,16.3,16.8,14.85,15.94,14.666,16.3112,16.16191111111111,16.06412266666667,13.93,RB,,,,,,,,
Derrick Henry,Derrick Henry,8300,16.2,15.450000000000003,15.4,16.36,16.1,14.74,15.86,15.471,15.7762,15.706355555555556,15.693389333333334,8.43,RB,,,,,,,,
Daniel Jones,Daniel Jones,7300,16.2,15.641999999999998,15.9,14.95,16,14.09,16.57,16.918,15.921999999999997,15.799111111111111,15.902126666666666,0.11,QB,False,,,,,,,
Malik Willis,Malik Willis,6500,16.2,16.840000000000003,12.4,18.65,16.1,15.98,15.72,16.103199999999998,16.03864,16.003537777777776,16.036569866666667,0,QB,,,,,,,,
Bryce Young,Bryce Young,6800,16.1,16.700000000000003,16,17.82,15.9,16.59,16.29,15.977599999999999,16.51952,16.433013333333335,16.4021776,1.23,QB,,,,,,,,
Amon-Ra St. Brown,Amon-Ra St Brown,8600,15.8,16.17,15.5,15.93,15.8,16.56,16.04,14.664000000000001,15.612799999999998,15.786311111111113,15.735630666666667,14.4,WR,,,,,,,,
