%,PLAYER,SALARY,PROJ,POS,QB,RB,WR,TE,DST,Slate,Total,,,,Totals,,Max,Min,Exclude?,Locks?,Skip Google?
19.1,Kenneth Walker III,7800,16.1,RB,,19.1,,,,Sunday,Players,,Salary,Score,QB,69.97,1,1,Thursday,,
18.58,Patrick Mahomes,8000,21.47,QB,18.58,,,,,Sunday,327.8500000000001,,59800,117.03,RB,85.91000000000003,3,2,Sunday,,
18.45,Jonathan Taylor,8800,15.76,RB,,18.45,,,,Sunday,327.8500000000001,,,,WR,102.46000000000002,4,3,Monday,,
18.44,Jaxson Dart,7600,18.57,QB,18.44,,,,,Monday,9,,60000,,TE,47.46999999999999,2,1,Friday,,
17.99,Matthew Stafford,7800,18.15,QB,17.99,,,,,Monday,,,,,DST,22.04,1,1,,,
14.96,Daniel Jones,7300,13.47,QB,14.96,,,,,Sunday,,Optimal Lineup - SportsLine,POS,Salary,Projection,9/20/2026 7:35 PM,Roster %,,Main Only,Single Game,
14.59,Kyren Williams,7900,14.87,RB,,14.59,,,,Monday,,Patrick Mahomes,QB,8000,21.47,Slate: SNF-MNF,18.58,,,,
12.71,Puka Nacua,9300,14.28,WR,,,12.71,,,Monday,,Kenneth Walker III,RB,7800,16.1,,19.1,,,,
12.19,Malik Nabers,7600,9.8,WR,,,12.19,,,Monday,,Cam Skattebo,RB,6600,14.2,,12.19,,Tournament,Plays,Stack?
12.19,Cam Skattebo,6600,14.2,RB,,12.19,,,,Monday,,Rashee Rice,WR,7700,15.45,,11.06,,0.05,1,
11.76,Davante Adams,7800,11.33,WR,,,11.76,,,Monday,,Davante Adams,WR,7800,11.33,,11.76,,0.1,2,
11.06,Rashee Rice,7700,15.45,WR,,,11.06,,,Sunday,,Alec Pierce,WR,6200,9.82,,9,,0.15,3,
9.34,Isaiah Likely,5600,10.1,TE,,,,9.34,,Monday,,Isaiah Likely,TE,5600,10.1,,9.34,,,,
9,Alec Pierce,6200,9.82,WR,,,9,,,Sunday,,Travis Kelce,FLEX,5400,10.1,,8.64,,,,
8.9,Tyler Warren,5700,8.83,TE,,,,8.9,,Sunday,,Rams,DST,4700,8.46,,7.17,,,,
8.64,Travis Kelce,5400,10.1,TE,,,,8.64,,Sunday,,Total,,59800,117.03,,,,,,
8.37,Josh Downs,5900,7.36,WR,,,8.37,,,Sunday,,,,,,,,,,,
8.24,Xavier Worthy,6500,8.66,WR,,,8.24,,,Sunday,,,,,,,,,,,
7.9,Blake Corum,5900,9.04,RB,,7.9,,,,Monday,,,,,,,,,,,
7.17,Rams,4700,8.46,DST,,,,,7.17,Monday,,,,,,,,,,,
7.01,Keenan Allen,5800,6.8,WR,,,7.01,,,Sunday,,,,,,,,,,,
6.42,Chiefs,4000,7,DST,,,,,6.42,Sunday,,,,,,,,,,,
6,Colby Parkinson,5200,6.31,TE,,,,6,,Monday,,,,,,,,,,,
4.91,Devin Singletary,5500,3.3,RB,,4.91,,,,Monday,,,,,,,,,,,
4.89,Malachi Fields,5400,4.76,WR,,,4.89,,,Monday,,,,,,,,,,,
4.55,Colts,3500,5.68,DST,,,,,4.55,Sunday,,,,,,,,,,,
4.54,Emmett Johnson,5000,5.41,RB,,4.54,,,,Sunday,,,,,,,,,,,
3.9,Giants,3200,3.2,DST,,,,,3.9,Monday,,,,,,,,,,,
3.73,Tyquan Thornton,5300,5.97,WR,,,3.73,,,Sunday,,,,,,,,,,,
3.65,Terrance Ferguson,4500,6.17,TE,,,,3.65,,Monday,,,,,,,,,,,
3.56,Darnell Mooney,5200,3.82,WR,,,3.56,,,Monday,,,,,,,,,,,
2.7,Tyler Higbee,4700,5.43,TE,,,,2.7,,Monday,,,,,,,,,,,
2.56,Noah Gray,4800,2.56,TE,,,,2.56,,Sunday,,Last Data Scrape: 9/20/2026 10:19:15 AM,,,,,,,,,
2.55,Theo Johnson,5000,4.41,TE,,,,2.55,,Monday,,,,,,,,,,,
1.84,Konata Mumpfield,4500,2.81,WR,,,1.84,,,Monday,,,,,,,,,,,
1.53,Tutu Atwell,4800,3.3,WR,,,1.53,,,Monday,,,,,,,,,,,
1.47,Xavier Smith,4100,2.88,WR,,,1.47,,,Monday,,,,,,,,,,,
1.38,Odell Beckham Jr.,4100,1.38,WR,,,1.38,,,Monday,,,,,,,,,,,
1.29,Laquon Treadwell,4000,1.29,WR,,,1.29,,,Sunday,,,,,,,,,,,
1.22,Tyrone Tracy Jr.,5200,1.22,RB,,1.22,,,,Monday,,,,,,,,,,,
1.11,Mo Alie-Cox,4000,1.11,TE,,,,1.11,,Sunday,,,,,,,,,,,
1.04,Brashard Smith,4500,1.04,RB,,1.04,,,,Sunday,,,,,,,,,,,
0.98,Davis Allen,4100,2.81,TE,,,,0.98,,Monday,,,,,,,,,,,
0.9,Ashton Dulin,4400,0.9,WR,,,0.9,,,Sunday,,,,,,,,,,,
0.89,Seth McGowan,4800,0.89,RB,,0.89,,,,Sunday,,,,,,,,,,,
0.89,CJ Daniels,4100,0.89,WR,,,0.89,,,Monday,,,,,,,,,,,
0.51,Najee Harris,4100,0.51,RB,,0.51,,,,Monday,,,,,,,,,,,
0.37,Chris Manhertz,4000,0.37,TE,,,,0.37,,Monday,,,,,,,,,,,
0.37,Jake Briningstool,4300,0.37,TE,,,,0.37,,Sunday,,,,,,,,,,,
0.3,Drew Ogletree,4200,0.3,TE,,,,0.3,,Sunday,,,,,,,,,,,
0.29,Ronnie Rivers,4600,0.29,RB,,0.29,,,,Monday,,,,,,,,,,,
0.28,Patrick Ricard,4200,0.28,RB,,0.28,,,,Monday,,,,,,,,,,,
0.25,Nikko Remigio,4000,2,WR,,,0.25,,,Sunday,,,,,,,,,,,
0.17,Anthony Gould,4000,0.17,WR,,,0.17,,,Sunday,,,,,,,,,,,
0.12,Jalen Royals,5100,0.12,WR,,,0.12,,,Sunday,,,,,,,,,,,
