Player,POS,Team,Opp,Proj,Prop,Metric,Proj Diff,L5 Avg,L5 Diff,L10 Avg,L10 Diff,Odds,Streak,Matchup,2025,2026,H2H,L5,L10,L20,Probability,Weighted Score,Total Odds,$10 Bet Payout,Parlay Probability,Avg Rating,Custom Sheet
Caleb Williams,QB,CHI,MIN,251.7,226.83,Passing Yards,24.869999999999976,285.8,58.97,250,23.17,-113,3,24,0.5263157894736842,1,1,0.8,0.7,0.55,0.5305164319248826,21.212916431924878,319413.4230221528,3194134.2302,3.130738810343125e-06,,
Baker Mayfield,QB,TB,CLE,244.13,210,Passing Yards,34.129999999999995,237.4,27.4,199,-11,-113,1,26,0.5294117647058824,1,1,0.6,0.4,0.5555555555555556,0.5305164319248826,19.670516431924884,,,,,
Caleb Williams,QB,CHI,MIN,279.66999999999996,254.5,Passing + Rushing Yards,25.16999999999996,285.8,31.3,250,-4.5,-112,3,24,0.3157894736842105,1,1,0.8,0.4,0.35,0.5283018867924528,17.010301886792437,,Player,Prop,Odds,
Derrick Henry,RB,BAL,NO,98.73,88.5,Rushing Yards,10.230000000000004,142.8,54.3,111,22.5,-113,6,28,0.5294117647058824,1,1,1,0.7,0.5555555555555556,0.5305164319248826,16.18251643192488,,Caleb Williams,226.83 Passing Yards,-113,
Tyler Shough,QB,NO,BAL,244.4,236.5,Passing Yards,7.900000000000006,316.4,79.9,266.6,30.1,-113,5,5,0.6363636363636364,1,1,1,0.8,0.6666666666666666,0.5305164319248826,15.362516431924885,,Baker Mayfield,210 Passing Yards,-113,
Caleb Douglas,WR,MIA,SF,51.81,38.5,Receiving Yards,13.310000000000002,94,55.5,94,55.5,-112,1,5,,1,1,1,1,1,0.5283018867924528,14.392301886792454,,Caleb Williams,254.5 Passing + Rushing Yards,-112,
Michael Wilson,WR,ARI,SEA,54.93,39.17,Receiving Yards,15.759999999999998,70,30.83,86.5,47.33,-113,6,6,0.5882352941176471,1,1,1,0.8,0.6111111111111112,0.5305164319248826,14.344116431924883,,Derrick Henry,88.5 Rushing Yards,-113,
Jacoby Brissett,QB,ARI,SEA,239.48,219.17,Passing Yards,20.310000000000002,236.8,17.63,278.3,59.13,-114,2,9,0.7142857142857143,1,1,0.6,0.8,0.7333333333333333,0.5327102803738317,14.170310280373833,,Tyler Shough,236.5 Passing Yards,-113,
Kalif Raymond,WR,CHI,MIN,39.36,24.5,Receiving Yards,14.86,44.6,20.1,32.6,8.1,-114,2,32,0.26666666666666666,1,1,0.6,0.5,0.3125,0.5327102803738317,13.516710280373832,,Caleb Douglas,38.5 Receiving Yards,-112,
Parker Washington,WR,JAX,DEN,67.15,56.17,Receiving Yards,10.980000000000004,107.4,51.23,74,17.83,-113,5,3,0.4117647058823529,1,1,1,0.6,0.4444444444444444,0.5305164319248826,13.282116431924885,,Michael Wilson,39.17 Receiving Yards,-113,
Trevor Lawrence,QB,JAX,DEN,235.13,221.5,Passing Yards,13.629999999999995,249.8,28.3,246.1,24.6,-114,1,23,0.6111111111111112,1,1,0.8,0.8,0.631578947368421,0.5327102803738317,12.980710280373831,,Jacoby Brissett,219.17 Passing Yards,-114,
