"Game Conditions — September 02, 2026",,,,,,,,,,,,,,,
Matchup,Ballpark,Temp,Wind,Direction,Park HR,Altitude,Dome,O/U Total,Home Impl,Away Impl,Run Adj,BB/K Adj,Wx Source,Umpire,Odds Source
SD @ CIN,Great American Park,95°F,7mph,In/X,1.18,550ft,Open,9.7,4.3,5.4,-1.8%,N/A,FantasyLabs,0.982x,FL
ATL @ WSH,Nationals Park,90°F,7mph,In/X,0.9,25ft,Open,9.7,4.5,5.2,-1.7%,N/A,FantasyLabs,1.012x,FL
ATH @ TEX,Globe Life Field,72°F,0mph,In/X,1.1,551ft,Dome,7.699999999999999,4.6,3.1,N/A,N/A,dome,0.952x,FL
BAL @ COL,Coors Field,87°F,7mph,In/X,1.38,5280ft,Open,11.3,5.1,6.2,-3.7%,N/A,FantasyLabs,1.018x,FL
PHI @ ARI,Chase Field,72°F,0mph,In/X,1.01,1082ft,Dome,7.699999999999999,3.6,4.1,N/A,N/A,dome,0.994x,FL
SEA @ BOS,Fenway Park,71°F,8mph,In/X,1.06,20ft,Open,7.2,3.7,3.5,-2.9%,N/A,FantasyLabs,0.988x,FL
SF @ PIT,PNC Park,82°F,5mph,In/X,0.94,730ft,Open,7.699999999999999,4.3,3.4,+0.3%,N/A,FantasyLabs,0.994x,FL
NYM @ TB,Tropicana Field,72°F,0mph,In/X,0.93,15ft,Dome,8.2,4.7,3.5,N/A,N/A,dome,0.994x,FL
TOR @ CLE,Progressive Field,84°F,10mph,Out,0.97,653ft,Open,8.2,4.7,3.5,+11.8%,N/A,FantasyLabs,1.000x,FL
DET @ MIN,Target Field,80°F,5mph,In/X,0.97,815ft,Open,8.7,4.4,4.3,-0.6%,N/A,FantasyLabs,1.000x,FL
MIA @ KC,Kauffman Stadium,89°F,7mph,In/X,0.91,750ft,Open,9.3,4.7,4.6,-2.9%,N/A,FantasyLabs,0.976x,FL
MIL @ CHC,Wrigley Field,86°F,8mph,Out,1.03,595ft,Open,8.7,3.9,4.8,+10.0%,N/A,FantasyLabs,1.006x,FL
CWS @ HOU,Minute Maid Park,72°F,0mph,In/X,0.99,43ft,Dome,8.7,4.7,4.0,N/A,N/A,dome,1.000x,FL
NYY @ LAA,Angel Stadium,73°F,4mph,Out,1.04,160ft,Open,6.6,2.9,3.7,+5.0%,N/A,FantasyLabs,1.012x,FL
STL @ LAD,Dodger Stadium,71°F,4mph,Out,1.0,515ft,Open,8.2,5.0,3.2,+4.8%,N/A,FantasyLabs,1.006x,FL
