"⚾  MLB HOME RUN MODEL  —  Thursday, September 17, 2026",,,,,,,,,,,,,,,,,,,,,,,
"Top 83 HR Picks  |  10,000 Monte Carlo Sims  |  Power + Matchup + Bullpen + Vegas + PropLine Odds",,,,,,,,,,,,,,,,,,,,,,,
Rank,Batter,Status,Game Time,Team,Opp,Pitcher,HR Odds,HR Prob,"Score
/100",Power,Vuln,"Pitch
Match",Park,Env,Est PA,"Edge
vs Mkt","Hit
Score","Sig
Score","NearHR
Count","NearHR
PA","NearHR
Rate","NewConv
CONV100","DFF
Cross-Check"
🥇,Elly De La Cruz,✅ Conf,12:40 PM ET,CIN,LAD,Justin Wrobleski,+265,0.248,66.2,88.0,44.9,1.098,1.16,1.309,4.6,+12.2%,66.6,10,2,10,0.2,81,🥇 T1 (14.8fp)
🥈,Fernando Tatis Jr.,✅ Conf,3:10 PM ET,SD,COL,Tanner Gordon,+285,0.248,56.0,84.8,52.6,1.046,1.4,1.768,4.8,+16.4%,15.6,8,1,10,0.1,71,🥇 T1 (15.1fp)
🥉,Oneil Cruz,✅ Conf,12:35 PM ET,PIT,MIL,Kyle Harrison,+420,0.2021,68.0,85.9,40.2,1.065,0.96,0.941,4.6,+10.1%,41.5~,9,0,10,0.0,60,🥇 T1 (11.3fp)
4,Sal Stewart,✅ Conf,12:40 PM ET,CIN,LAD,Justin Wrobleski,+340,0.2069,65.0,82.8,44.9,1.053,1.16,1.309,4.5,+5.4%,48.5~,14,0,10,0.0,60,🥈 T2 (10.4fp)
5,Juan Soto,📋 Proj,7:15 PM ET,NYM,PHI,Aaron Nola,+290,0.2007,67.5,87.1,43.3,1.085,0.98,1.039,4.6,-5.6%,43.4~,4,0,10,0.0,84,🥇 T1 (14.8fp)
6,Y. Alvarez,📋 Proj,7:15 PM ET,HOU,KC,Seth Lugo,+235,0.2057,64.6,88.0,50.3,1.129,1.01,1.012,4.6,+11.5%,14.8,8,3,10,0.3,82,🥇 T1 (13.5fp)
7,Kody Clemens,📋 Proj,9:38 PM ET,MIN,LAA,Walbert Ureña,+430,0.2048,65.0,83.3,41.4,1.044,0.97,1.007,4.4,+1.8%,59.0,12,0,10,0.0,57,🥈 T2 (9.8fp)
8,Ryan Jeffers,📋 Proj,9:38 PM ET,MIN,LAA,Walbert Ureña,+600,0.2039,65.0,84.6,41.4,1.041,1.12,1.163,4.3,+19.9%,19.9,9,0,10,0.0,33,– (9.5fp)
9,Bryan Reynolds,✅ Conf,12:35 PM ET,PIT,MIL,Kyle Harrison,+520,0.2003,65.0,81.7,40.2,1.045,0.92,0.901,4.5,+13.1%,35.2★,12,0,10,0.0,41,– (9.6fp)
10,Teoscar Hernández,✅ Conf,12:40 PM ET,LAD,CIN,Brady Singer,+360,0.221,51.2,80.4,67.2,1.025,1.16,1.309,4.4,+9.6%,8.5,4,0,10,0.0,90,– (11.6fp)
11,Yainer Diaz,📋 Proj,7:15 PM ET,HOU,KC,Seth Lugo,+830,0.205,57.4,79.5,50.3,1.128,0.97,0.971,4.4,+9.8%,54.7,2,0,10,0.0,27,– (9.7fp)
12,Josh Bell,📋 Proj,9:38 PM ET,MIN,LAA,Walbert Ureña,+560,0.2038,58.0,80.6,41.4,1.022,1.12,1.163,4.2,-1.4%,27.1,7,0,10,0.0,44,– (8.3fp)
13,Wilyer Abreu,📋 Proj,8:05 PM ET,BOS,TEX,Tyler Alexander,+460,0.2018,55.5,84.7,42.6,1.067,1.12,1.142,4.4,+10.9%,54.5,6,2,10,0.2,60,– (9.6fp)
14,Carter Jensen,📋 Proj,7:15 PM ET,KC,HOU,M Ullola,+340,0.201,52.2,82.9,48.0,1.021,1.01,1.012,4.6,+0.8%,57.6,7,1,10,0.1,84,🥈 T2 (11.1fp)
