player_name,player_id,game_date,game_id,team_name,team_side,opponent_team,position,batting_order,is_substitute,is_starter,at_bats,avg,batters_faced,batting_order_raw,doubles,earned_runs,era,games_started,hits,hits_allowed,home_runs,home_runs_allowed,innings_pitched,losses,plate_appearances,rbi,runs,saves,strikeouts,total_bases,triples,walks,wins
Chase DeLauter,800050,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,2,,,,0,,,,0,,0,,,,4,0,0,,2,0,0,2,
Austin Hedges,595978,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,3,,,,0,,,,0,,0,,,,3,0,0,,1,0,0,0,
Travis Bazzana,683953,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,3,,,,0,,,,0,,0,,,,3,0,0,,1,0,0,0,
Brayan Rocchio,677587,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,4,,,,0,,,,0,,0,,,,4,0,0,,2,0,0,0,
Petey Halpin,690984,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,1,,,,0,,,,0,,0,,,,2,0,0,,0,0,0,0,
David Fry,681807,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,1,,,,0,,,,0,,0,,,,1,0,0,,1,0,0,0,
José Ramírez,608070,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,4,,,,0,,,,0,,0,,,,4,0,0,,1,0,0,0,
Steven Kwan,680757,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,4,,,,1,,,,1,,0,,,,4,0,0,,0,2,0,0,
Angel Martínez,682657,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,3,,,,0,,,,0,,0,,,,3,0,0,,1,0,0,0,
Kyle Manzardo,700932,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,2,,,,0,,,,0,,0,,,,2,0,0,,2,0,0,0,
Rhys Hoskins,656555,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,batting,,0,,1,,,,0,,,,0,,0,,,,1,0,0,,0,0,0,0,
Colin Holderman,670059,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,pitching,,,0,,,1,,,0,,0,,0,,0,0.1,0,,,,0,0,,,0,0
Parker Messick,800048,2026-07-26,822950,Cleveland Guardians,away,Tampa Bay Rays,pitching,,,1,,,29,,,1,,1,,6,,0,7.2,1,,,,0,6,,,0,0
Taylor Walls,670764,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,1,,,,0,,,,0,,0,,,,1,0,0,,1,0,0,0,
Richie Palacios,680700,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,2,,,,0,,,,0,,0,,,,2,0,0,,0,0,0,0,
Ryan Vilade,668723,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,4,,,,0,,,,1,,0,,,,4,0,0,,2,1,0,0,
Chandler Simpson,802415,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,3,,,,0,,,,2,,0,,,,3,0,1,,0,2,0,0,
Jonny DeLuca,676356,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,3,,,,0,,,,0,,0,,,,3,0,0,,0,0,0,0,
Nick Fortes,663743,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,3,,,,1,,,,1,,0,,,,3,0,0,,1,2,0,0,
Yandy Díaz,650490,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,4,,,,0,,,,0,,0,,,,4,0,0,,1,0,0,0,
Ben Williamson,810938,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,3,,,,0,,,,1,,0,,,,3,0,0,,0,1,0,0,
Junior Caminero,691406,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,4,,,,0,,,,0,,0,,,,4,0,0,,0,0,0,0,
Cedric Mullins,656775,2026-07-26,822950,Tampa Bay Rays,home,Cleveland Guardians,batting,,0,,3,,,,0,,,,1,,0,,,,3,1,0,,1,1,0,0,
